Land;Postleitzahl;Zusatzzahl;Ort;Amtliche Gemeindeverzeichnis ID
CH;1566;0;St-Aubin FR;0
CH;1566;2;Les Friques;0
CH;1567;0;Delley;0
CH;1568;0;Portalban;0
CH;1580;0;Avenches;0
CH;1580;2;Oleyres;0
CH;1580;60;Avenches Dist;0
CH;1582;0;Donatyre;0
CH;1583;0;Villarepos;0
CH;1584;0;Villars-le-Grand;0
CH;1585;0;Salavaux;0
CH;1585;2;Bellerive VD;0
CH;1585;3;Cotterd;0
CH;1586;0;Vallamand;0
CH;1587;0;Montmagny;0
CH;1587;1;Constantine;0
CH;1588;0;Cudrefin;0
CH;1589;0;Chabrey;0
CH;1595;0;Faoug;0
CH;1595;2;Clavaleyres;0
CH;1607;0;PalÇzieux;0
CH;1607;1;PalÇzieux-Village;0
CH;1607;3;Les Tavernes;0
CH;1607;4;Les Thioleyres;0
CH;1607;60;PalÇzieux Dist;0
CH;1608;0;Oron-le-ChÉtel;0
CH;1608;2;Bussigny-sur-Oron;0
CH;1608;3;Chesalles-sur-Oron;0
CH;1608;4;Chapelle (GlÉne);0
CH;1609;0;St-Martin FR;0
CH;1609;2;Besencens;0
CH;1609;3;Fiaugäres;0
CH;1610;0;Oron-la-Ville;0
CH;1610;1;ChÉtillens;0
CH;1610;2;Vuibroye;0
CH;1611;0;Le Cràt-p-Semsales;0
CH;1612;0;Ecoteaux;0
CH;1613;0;Maracon;0
CH;1614;0;Granges (Veveyse);0
CH;1615;0;Bossonnens;0
CH;1616;0;Attalens;0
CH;1617;0;Remaufens;0
CH;1617;2;Tatroz;0
CH;1618;0;ChÉtel-St-Denis;0
CH;1618;60;ChÉtel-Denis Dist;0
CH;1619;0;Les Paccots;0
CH;1623;0;Semsales;0
CH;1624;0;La Verrerie;0
CH;1624;2;Grattavache;0
CH;1624;3;Progens;0
CH;1625;0;SÉles (Gruyäre);0
CH;1625;2;Maules;0
CH;1626;0;Romanens;0
CH;1626;2;Treyfayes;0
CH;1626;3;Rueyres-Treyfayes;0
CH;1627;0;Vaulruz;0
CH;1628;0;Vuadens;0
CH;1630;0;Bulle;0
CH;1630;1;Bulle 1;0
CH;1630;2;Bulle 2;0
CH;1630;60;Bulle 1 Dist;0
CH;1630;70;Bulle Dist Fil;0
CH;1631;0;Bulle;0
CH;1632;0;Riaz;0
CH;1633;0;Marsens;0
CH;1633;2;Vuippens;0
CH;1634;0;La Roche FR;0
CH;1635;0;La Tour-de-Tràme;0
CH;1636;0;Broc;0
CH;1637;0;Charmey (Gruyäre);0
CH;1638;0;Morlon;0
CH;1642;0;Sorens;0
CH;1643;0;Gumefens;0
CH;1644;0;Avry-devant-Pont;0
CH;1645;0;Le Bry;0
CH;1646;0;Echarlens;0
CH;1647;0;Corbiäres;0
CH;1648;0;Hauteville;0
CH;1649;0;Pont-la-Ville;0
CH;1651;0;Villarvolard;0
CH;1652;0;Botterens;0
CH;1652;2;Villarbeney;0
CH;1653;2;CrÇsuz;0
CH;1653;3;ChÉtel-Montsalvens;0
CH;1654;0;Cerniat FR;0
CH;1656;0;Jaun;0
CH;1656;1;Im Fang;0
CH;1657;0;AblÑndschen;0
CH;1658;0;Rossiniäre;0
CH;1658;2;La Tine;0
CH;1659;0;Rougemont;0
CH;1659;2;Flendruz;0
CH;1660;0;ChÉteau-d'Oex;0
CH;1660;2;Les Moulins;0
CH;1660;3;L'Etivaz;0
CH;1660;4;La LÇcherette;0
CH;1661;0;PÉquier-Montbarry;0
CH;1663;0;Gruyäres;0
CH;1663;2;Pringy;0
CH;1663;3;Epagny;0
CH;1663;4;MolÇson-s-Gruyäres;0
CH;1663;60;Epagny Dist;0
CH;1665;0;Estavannens;0
CH;1666;0;Grandvillard;0
CH;1666;2;Villars-sous-Mont;0
CH;1667;0;Enney;0
CH;1669;0;Albeuve;0
CH;1669;2;Lessoc;0
CH;1669;3;Sciernes-d'Albeuve;0
CH;1669;4;Neirivue;0
CH;1669;5;Montbovon;0
CH;1670;0;Ursy;0
CH;1670;2;Bionnens;0
CH;1670;3;Esmonts;0
CH;1673;0;Promasens;0
CH;1673;2;Gillarens;0
CH;1673;3;Auboranges;0
CH;1673;4;Ecublens FR;0
CH;1673;5;Rue;0
CH;1674;0;Vuarmarens;0
CH;1674;2;Montet (GlÉne);0
CH;1674;3;Morlens;0
CH;1675;0;Vauderens;0
CH;1675;2;Blessens;0
CH;1675;3;Mossel;0
CH;1676;0;Chavannes-Forts;0
CH;1677;0;Prez-vers-Siviriez;0
CH;1678;0;Siviriez;0
CH;1679;0;Villaraboud;0
CH;1680;0;Romont FR;0
CH;1680;2;Berlens;0
CH;1680;60;Romont FR Dist;0
CH;1680;75;Romont Caserne;0
CH;1681;0;Billens;0
CH;1681;2;Hennens;0
CH;1682;0;PrÇvonloup;0
CH;1682;2;Lovatens;0
CH;1682;3;Dompierre VD;0
CH;1682;4;Villars-Bramard;0
CH;1682;5;Cerniaz VD;0
CH;1683;0;Brenles;0
CH;1683;2;Chesalles-Moudon;0
CH;1683;3;Sarzens;0
CH;1684;0;MÇziäres FR;0
CH;1685;0;Villariaz;0
CH;1686;0;Grangettes-Romont;0
CH;1686;2;La Neirigue;0
